Fecha,Hora,Demanda,Pred. M1,Pred. M2,Pred. M3
2017-12-29,5,525.8399999999999,622.6484375,534.7445350161601,533.8225372877328
2017-12-29,6,537.5,656.0703125,564.8454615130901,563.6627849877489
2017-12-29,7,581.6600000000001,725.484375,613.7424271507015,613.380296276341
2017-12-29,8,644.62,810.875,675.2835648787176,675.6204361740662
2017-12-29,9,685.3100000000001,857.7109375,700.9682172372318,701.2275168616617
2017-12-29,10,708.55,888.578125,726.0374748267188,726.2093962622157
2017-12-29,11,726.4200000000001,906.1640625,736.4251102166764,737.2314165610525
2017-12-29,12,718.37,886.46875,717.0044376117471,717.8584637855881
2017-12-29,13,738.68,901.0703125,742.58895854589,742.8155799109119
2017-12-29,14,755.34,912.7265625,759.6271511385429,760.0252968448051
2017-12-29,15,753.6300000000001,900.1171875,751.733543030031,752.7615724431341
2017-12-29,16,732.0899999999999,854.171875,716.0742669846924,716.8600495300292
2017-12-29,17,734.88,813.9375,698.8514192182703,698.7565604630429
2017-12-29,18,831.1700000000001,874.9609375,800.4582440426628,799.3911574689878
2017-12-29,19,831.75,898.9453125,857.7079135704483,856.1358505255505
2017-12-29,20,778.4000000000001,854.375,791.0607231750557,790.0121634408432
2017-12-29,21,700.17,780.6015625,709.0049535294875,708.0325567795647
2017-12-29,22,618.1199999999999,698.859375,623.0641343944427,622.0543322188715
2017-12-29,23,562.67,642.3359375,566.2481041705767,565.101091634081
2017-12-30,0,520.93,532.3203125,526.8504681836669,524.9978581014374
2017-12-30,1,497.65,514.46875,502.11224626221167,500.2056562761725
2017-12-30,2,485.06,504.546875,487.028913603375,485.1350437134521
2017-12-30,3,482.90000000000003,501.171875,481.2955529541965,479.90588798563033
2017-12-30,4,496.43,514.8828125,495.9323420445555,494.88167533952924
2017-12-30,5,519.7,547.375,528.4251388489378,527.8178630444462
2017-12-30,6,527.16,580.796875,553.159384050888,552.332721428384
2017-12-30,7,558.02,650.2109375,598.0950032141732,596.8118791773336
2017-12-30,8,601.66,735.6015625,647.0918771068233,647.0401012544091
2017-12-30,9,635.71,782.4375,654.5543356834376,655.4368496787461
2017-12-30,10,655.62,813.3046875,673.3608931325615,674.2042150092193
2017-12-30,11,663.33,830.890625,680.6077466750177,681.6737903296929
2017-12-30,12,661.02,811.1953125,651.6043883131471,652.7918822903699
2017-12-30,13,656.76,825.796875,682.6027494288688,684.4286699776138
2017-12-30,14,660.6,837.453125,676.4670651467144,679.0786417460068
2017-12-30,15,655.25,824.84375,656.4819185141879,658.5089265631123
2017-12-30,16,647.23,778.8984375,617.3894755244332,618.7648232256012
2017-12-30,17,675.96,738.6640625,612.9183906944135,614.1866407600334
2017-12-30,18,789.74,799.6875,738.9912458864293,739.5348518896014
2017-12-30,19,795.38,823.671875,812.737093946587,813.0846283631334
2017-12-30,20,756.4999999999999,779.1015625,750.8623828750254,751.260871759096
2017-12-30,21,692.2800000000001,705.328125,682.4543950112425,681.9523815116945
2017-12-30,22,610.37,623.5859375,609.7274959012714,609.0864072705547
2017-12-30,23,546.45,567.0625,553.0435105598829,552.2641955968802
2017-12-31,0,509.88,461.4375,508.1815673600373,506.9080958817607
2017-12-31,1,478.94,443.5859375,488.319574312931,486.95460455985676
2017-12-31,2,469.09999999999997,433.6640625,466.0115002271091,464.2790099821091
2017-12-31,3,463.52,430.2890625,462.8718783408823,460.7519789661544
2017-12-31,4,466.52,444.0,474.2829995878614,472.09108847025846
2017-12-31,5,486.9,476.4921875,496.844134874469,496.4795164238103
2017-12-31,6,487.77000000000004,509.9140625,518.85259643099,518.7253924493789
2017-12-31,7,505.67999999999995,579.328125,557.5726743405113,556.6010034325461
2017-12-31,8,533.73,664.71875,594.3553966039892,594.2732224959908
2017-12-31,9,556.7299999999999,711.5546875,587.113714338998,587.2073082759778
2017-12-31,10,573.21,742.421875,595.4981578497162,595.6327488362108
2017-12-31,11,581.3299999999999,760.0078125,599.5099117714728,600.3279445697244
2017-12-31,12,583.5799999999999,740.3125,570.8932562797148,571.8297640558129
2017-12-31,13,588.52,754.9140625,606.1925078532765,606.8626930914972
2017-12-31,14,592.15,766.5703125,608.7340587053601,609.6873074264237
2017-12-31,15,593.53,753.9609375,588.5508447491173,590.2285350830125
2017-12-31,16,593.73,708.015625,555.8059878956043,557.6548361577858
2017-12-31,17,622.13,667.78125,559.0878240224799,559.4624364101664
2017-12-31,18,736.9000000000001,728.8046875,684.8494305629416,684.065964942432
2017-12-31,19,727.33,752.7890625,759.5290245777619,758.9781317371001
2017-12-31,20,689.68,708.21875,683.3085802027481,683.354848596471
2017-12-31,21,651.23,634.4453125,616.0607009493033,616.0691983960762
2017-12-31,22,618.34,552.703125,567.6394919925186,567.757731743633
2017-12-31,23,595.75,496.1796875,557.1900790729075,556.8143573764888
